date,temperature,humidity,luminosity
50:38.1,21.6,40.2,260
50:35.8,21.6,40.6,258
50:33.5,21.6,41,260
50:31.2,21.6,41.1,258
50:29.0,21.6,41.1,260
50:26.7,21.6,41.5,254
50:24.4,21.6,41.6,258
50:22.1,21.6,41.2,258
50:19.9,21.6,41.1,250
50:17.6,21.6,40.5,250
50:15.3,21.6,40.1,250
50:13.0,21.6,39.6,250
50:10.8,21.6,39,250
50:08.5,21.6,38,250
50:06.2,21.5,36.5,252
50:03.9,21.6,36.3,252
50:01.7,21.6,36.2,250
49:59.4,21.6,36.2,252
49:57.1,21.6,36.3,260
49:54.8,21.5,36.2,260
49:52.6,21.5,36.3,260
49:50.3,21.6,36.4,260
49:48.0,21.5,36.3,260
49:45.7,21.6,36.4,260
49:43.5,21.5,36.3,260
49:41.2,21.6,36.4,261
49:38.9,21.5,36.3,260
49:36.6,21.5,36.3,260
49:34.4,21.5,36.4,260
49:32.1,21.5,36.4,260
49:29.8,21.5,36.4,260
49:27.5,21.6,36.6,260
49:25.3,21.5,36.6,261
49:23.0,21.5,36.7,260
49:20.7,21.5,36.7,260
49:18.4,21.6,36.9,260
49:16.2,21.6,37,260
49:13.9,21.6,37,260
49:11.6,21.5,37,261
49:09.3,21.6,37.2,260
49:07.1,21.6,37.2,260
49:04.8,21.5,37.2,260
49:02.5,21.6,37.4,260
49:00.2,21.6,37.5,260
48:58.0,21.6,37.6,260
48:55.7,21.5,37.6,261
48:53.4,21.5,37.7,260
48:51.2,21.5,37.9,260
48:48.9,21.6,38.2,260
48:46.6,21.5,38.3,260
48:44.3,21.6,38.6,260
48:42.1,21.6,38.7,260
48:39.8,21.6,38.5,260
48:37.5,21.6,38.2,261
48:35.2,21.6,37.6,254
48:33.0,21.6,37.5,254
48:30.7,21.6,37.5,252
48:28.4,21.6,37.5,254
48:26.1,21.6,37.1,254
48:23.9,21.6,36.7,254
48:21.6,21.6,36.7,254
48:19.3,21.5,36.7,252
48:17.0,21.6,36.7,254
48:14.8,21.6,36.8,260
48:12.5,21.6,36.8,260
48:10.2,21.6,36.8,260
48:07.9,21.6,36.8,258
48:05.7,21.5,36.7,260
48:03.4,21.5,36.8,260
48:01.1,21.6,37,260
47:58.8,21.6,37,260
47:56.6,21.5,37,260
47:54.3,21.5,37,258
47:52.0,21.6,37.1,260
47:49.7,21.5,37.1,261
47:47.5,21.6,37.3,260
47:45.2,21.5,37.2,260
47:42.9,21.6,37.5,258
47:40.6,21.6,37.6,260
47:38.4,21.5,37.6,260
47:36.1,21.5,37.7,260
47:33.8,21.5,37.8,260
47:31.5,21.6,38,261
47:29.3,21.5,38.1,265
47:27.0,21.6,38.4,263
47:24.7,21.6,38.6,263
47:22.4,21.5,38.7,260
47:20.2,21.6,39,260
47:17.9,21.6,39.3,260
47:15.6,21.6,39.7,260
47:13.3,21.5,40,260
47:11.1,21.6,40.5,261
47:08.8,21.6,40.9,261
47:06.5,21.6,41.2,260
47:04.2,21.5,41.5,260
47:02.0,21.6,41.9,263
46:59.7,21.5,42,258
46:57.4,21.6,41.8,258
46:55.1,21.6,41.9,247
46:52.9,21.5,42,247
46:50.6,21.5,41.9,247
46:48.3,21.5,41.2,247
46:46.0,21.6,40.9,247
46:43.8,21.6,40.6,256
46:41.5,21.6,39.9,254
46:39.2,21.5,39.7,256
46:36.9,21.5,39.2,256
46:34.7,21.5,39.2,256
46:32.4,21.5,38.9,254
46:30.1,21.5,39.1,256
46:27.8,21.5,39.3,254
46:25.6,21.5,39.4,256
46:23.3,21.6,39.3,256
46:21.0,21.5,38.8,256
46:18.7,21.5,38.3,256
46:16.5,21.6,36.6,254
46:14.2,21.5,36.5,256
46:11.9,21.6,36.6,256
46:09.6,21.5,36.5,258
46:07.4,21.5,36.6,258
46:05.1,21.5,36.6,258
46:02.8,21.5,36.6,258
46:00.5,21.5,36.6,258
45:58.3,21.5,36.7,258
45:56.0,21.5,36.7,258
45:53.7,21.5,36.7,258
45:51.4,21.5,36.7,258
45:49.2,21.6,36.9,256
45:46.9,21.5,36.9,256
45:44.6,21.5,36.9,258
45:42.3,21.5,37,258
45:40.1,21.5,37.1,258
45:37.8,21.5,37.2,256
45:35.5,21.5,37.2,256
45:33.2,21.6,37.4,256
45:31.0,21.5,37.4,258
45:28.7,21.5,37.5,256
45:26.4,21.5,37.6,256
45:24.1,21.5,37.7,256
45:21.9,21.5,37.9,258
45:19.6,21.5,38,256
45:17.3,21.5,38.2,258
45:15.0,21.5,38.3,256
45:12.8,21.6,38.6,258
45:10.5,21.5,38.7,254
45:08.2,21.5,38.9,258
45:05.9,21.5,39,256
45:03.7,21.5,39.2,258
45:01.4,21.5,39.3,256
44:59.1,21.5,39.5,256
44:56.8,21.6,39.7,258
44:54.6,21.5,39.8,258
44:52.3,21.5,40,258
44:50.0,21.6,40.4,258
44:47.7,21.5,40.6,258
44:45.5,21.5,40.9,258
44:43.2,21.5,41.3,258
44:40.9,21.5,41.6,258
44:38.6,21.5,41.6,258
44:36.4,21.5,41.6,258
44:34.1,21.5,41.6,258
44:31.8,21.5,41.6,258
44:29.5,21.5,41.5,258
44:27.3,21.5,41.4,258
44:25.0,21.6,41.8,256
44:22.7,21.5,42,258
44:20.4,21.5,42,258
44:18.2,21.5,41.9,261
44:15.9,21.5,41.3,261
44:13.6,21.5,41.1,263
44:11.3,21.5,41.3,263
44:09.1,21.5,41.2,263
44:06.8,21.5,40.9,263
44:04.5,21.5,40.3,260
44:02.2,21.5,39.9,254
44:00.0,21.5,39.4,249
43:57.7,21.5,38.7,250
43:55.4,21.5,38.2,247
43:53.1,21.5,37.6,250
43:50.9,21.5,36.6,249
43:48.6,21.5,36.4,249
43:46.3,21.5,36.4,258
43:44.0,21.4,36.3,256
43:41.8,21.5,36.4,256
43:39.5,21.5,36.4,258
43:37.2,21.5,36.4,258
43:34.9,21.5,36.4,258
43:32.7,21.5,36.5,256
43:30.4,21.5,36.6,256
43:28.1,21.4,36.5,258
43:25.8,21.4,36.5,258
43:23.6,21.5,36.7,258
43:21.3,21.5,36.7,258
43:19.0,21.5,36.8,260
43:16.7,21.5,36.8,256
